가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨
소이연남,서울특별시 마포구 동교로 267 (연남동),태국식,1,Y,Y,레드리본 선정 서울 2025 선정
이태원숯불구이,서울특별시 용산구 녹사평대로32길 41-5 (이태원동),"소고기구이, 곰탕",1,Y,Y,레드리본 선정 서울 2025 선정
남포면옥,서울특별시 중구 을지로3길 24 (다동),"평양냉면, 어복쟁반, 소불고기",1,N,Y,서울 2025 선정
군산아구산꽃게,서울특별시 성동구 마장로 327 (마장동),"꽃게, 아귀",1,Y,Y,레드리본 선정 서울 2025 선정
17도씨,서울특별시 마포구 양화로19길 22-16 (동교동) 유티엘동교빌딩 1층,초콜릿,1,N,Y,서울 2025 선정
편의방,서울특별시 서대문구 연희로 36 (연희동),중국만두,1,Y,Y,레드리본 선정 서울 2025 선정
한뫼촌,서울특별시 종로구 북촌로 24-4 (재동),한정식,1,N,Y,서울 2025 선정
호미관,서울특별시 종로구 종로5길 13 (청진동) 삼공빌딩 지하1층,이자카야,1,N,Y,서울 2025 선정
가봉루,서울특별시 종로구 새문안로5길 5-27 (당주동) 당주빌딩 3층,일반중식,1,N,Y,서울 2025 선정
신안촌,서울특별시 종로구 사직로12길 8 (내자동),"홍어, 낙지",1,N,Y,서울 2025 선정
오통영,서울특별시 용산구 이촌로 300 (이촌동),일반한식,1,N,Y,서울 2025 선정
형제갈비,서울특별시 서대문구 명물1길 2 (창천동),"소갈비, 소불고기",1,Y,Y,레드리본 선정 서울 2025 선정
매뉴팩트커피,서울특별시 서대문구 연희로11길 29 (연희동) 2층,커피전문점,1,N,Y,서울 2025 선정
만족오향족발,서울특별시 중구 서소문로 134-7 (태평로2가),"족발, 보쌈",1,Y,Y,레드리본 선정 서울 2025 선정
컴컴베이커리카페,서울특별시 용산구 한강대로44길 14 (한강로2가) 커뮤니크 빌딩,"카페, 베이커리",1,N,Y,서울 2025 선정
지유명차(종로점),서울특별시 종로구 돈화문로 79 (와룡동) 지유빌딩,중국차전문점,1,N,Y,서울 2025 선정
밀도,서울특별시 성동구 왕십리로 96 (성수동1가),식빵,1,N,Y,서울 2025 선정
락희옥(마포본점),서울특별시 마포구 백범로 170 (공덕동) 공덕더샾 101동 1층 상가내,한식주점,1,N,Y,서울 2025 선정
진가,서울특별시 마포구 동교로34길 12 (연남동) 2층,"중식주점, 일반중식",1,N,Y,서울 2025 선정
랑빠스81,서울특별시 마포구 동교로30길 17-1 (동교동) 101호,"프렌치비스트로, 샤퀴테리",1,Y,Y,레드리본 선정 서울 2025 선정
커넥츠커피(합정점),서울특별시 마포구 성지길 60 (합정동),커피전문점,1,N,Y,서울 2025 선정
포옹싸,서울특별시 은평구 진관2로 29-21 (진관동) 드림스퀘어빌딩 202호,베트남식,1,Y,Y,레드리본 선정 서울 2025 선정
베어카페,서울특별시 종로구 자하문로24길 24 (효자동),카페,1,N,Y,서울 2025 선정
락희안(가좌본점),서울특별시 서대문구 가재울로4길 53 (남가좌동),일반중식,1,Y,Y,레드리본 선정 서울 2025 선정
금토일샴페인빠,서울특별시 중구 충무로 43-2 (초동) 2층,샴페인바,1,N,Y,서울 2025 선정
웨이티하우스앤레스토랑,서울특별시 용산구 한강대로21길 25 (한강로3가) 한국여성단체협의회 1층,"홍콩식중식, 중국차전문점",1,Y,Y,레드리본 선정 서울 2025 선정
대성갈비,서울특별시 성동구 상원1길 26 (성수동1가) 서울숲A타워 101호~103호,돼지갈비,1,Y,Y,레드리본 선정 서울 2025 선정
센터커피,서울특별시 성동구 서울숲2길 28-11 (성수동1가),커피전문점,1,N,Y,서울 2025 선정
소바쿠,서울특별시 광진구 천호대로 650 (능동),"일식우동, 소바",1,Y,Y,레드리본 선정 서울 2025 선정
모짜,서울특별시 성북구 성북로 102 (성북동),"피자, 파스타, 이탈리아식",1,Y,Y,레드리본 선정 서울 2025 선정
하하,서울특별시 마포구 새창로 28 (도화동),"중국만두, 일반중식",1,Y,Y,레드리본 선정 서울 2025 선정
중화복춘,서울특별시 마포구 동교로 220-7 (동교동) 101호,일반중식,1,N,Y,서울 2025 선정
로프커피,서울특별시 광진구 동일로 304 (군자동),커피전문점,1,N,Y,서울 2025 선정
이나니와요스케,서울특별시 중구 을지로 6 (을지로1가) 재능빌딩,일식우동,1,N,Y,서울 2025 선정
